site_name,p_longitude,p_latitude,n_corner,id_key
LAC MUNICIPAL,11.510867737843,3.86659235292269,11,1_1
LAC MUNICIPAL,11.5111497501074,3.86619709449744,11,1_2
LAC MUNICIPAL,11.5111698938406,3.86584203168713,11,1_3
LAC MUNICIPAL,11.5109818856643,3.86556736035452,11,1_4
LAC MUNICIPAL,11.5108005920658,3.86545347221489,11,1_5
LAC MUNICIPAL,11.5104581486018,3.86544677291209,11,1_6
LAC MUNICIPAL,11.5101694217597,3.86560085686326,11,1_7
LAC MUNICIPAL,11.510041844783,3.86579513658785,11,1_8
LAC MUNICIPAL,11.5100955614048,3.8661435001205,11,1_9
LAC MUNICIPAL,11.5103171424696,3.86658565362888,11,1_10
LAC MUNICIPAL,11.510867737843,3.86659235292269,11,1_11
LAC OBILI,11.4954824076219,3.85722887322613,12,2_1
LAC OBILI,11.4956104770531,3.85701723869269,12,2_2
LAC OBILI,11.4956665074293,3.85674770406909,12,2_3
LAC OBILI,11.4955744575256,3.85658797980735,12,2_4
LAC OBILI,11.4954824076219,3.85657001082602,12,2_5
LAC OBILI,11.4953423316814,3.85660794534171,12,2_6
LAC OBILI,11.4950661819704,3.85675169717524,12,2_7
LAC OBILI,11.4949661277272,3.85685551792878,12,2_8
LAC OBILI,11.4949941429153,3.85711107665271,12,2_9
LAC OBILI,11.4950661819704,3.85726880426427,12,2_10
LAC OBILI,11.4952702926264,3.85733469047309,12,2_11
LAC OBILI,11.4954824076219,3.85722887322613,12,2_12
.MBAM RIVER 1,11.2906953242731,5.7682508070682,10,3_1
.MBAM RIVER 1,11.2904765080301,5.76813106750226,10,3_2
.MBAM RIVER 1,11.2902467509751,5.76816372375002,10,3_3
.MBAM RIVER 1,11.2899075857986,5.76844674448522,10,3_4
.MBAM RIVER 1,11.2898857041743,5.76863179642802,10,3_5
.MBAM RIVER 1,11.2899622898593,5.7688712753232,10,3_6
.MBAM RIVER 1,11.2902248693508,5.76909986871972,10,3_7
.MBAM RIVER 1,11.2906953242731,5.76902367093112,10,3_8
.MBAM RIVER 1,11.2909797853888,5.76868622345854,10,3_9
.MBAM RIVER 1,11.2906953242731,5.7682508070682,10,3_10
MBAM RIVER 2,11.2920301033549,5.76219848463978,14,4_1
MBAM RIVER 2,11.2921066890399,5.76150181029044,14,4_2
MBAM RIVER 2,11.291964458482,5.76120790054295,14,4_3
MBAM RIVER 2,11.2918003462998,5.76093576175224,14,4_4
MBAM RIVER 2,11.2915377668083,5.76076159285776,14,4_5
MBAM RIVER 2,11.2912095424439,5.76097930396752,14,4_6
MBAM RIVER 2,11.2911110751346,5.76130587047569,14,4_7
MBAM RIVER 2,11.2911548383832,5.76175217773311,14,4_8
MBAM RIVER 2,11.2911548383832,5.76224202675823,14,4_9
MBAM RIVER 2,11.2910563710739,5.76274276088042,14,4_10
MBAM RIVER 2,11.2912204832561,5.76298224226101,14,4_11
MBAM RIVER 2,11.2915705892447,5.76303666983342,14,4_12
MBAM RIVER 2,11.2919972809184,5.76268833327985,14,4_13
MBAM RIVER 2,11.2920301033549,5.76219848463978,14,4_14
